Time,Altitude,Latitude,Longitude,VerticalWind,Temperature,StaticPres,DewPoint,MixingRatio,absHumidity,vapPres,LWC_cdp,LWC_king,LWC_2dc,EffRadius_cdp,EffRadius_2dc,TotalConc_2dc_L,TotalConc_cdp_cm3,Icing,MeanDiam,SatVapPres,MoistStaticEnergy,SatMixingRatio,MRchange,HeightAbvCloudBase,TempAbvCloudBase,DryAirDensity,LWC_over_Density
2021-05-29 06:48:28,5067.255859375,37.4379920959473,-103.612846374512,3.70116662979126,-5.630934715271,552.519409179688,-10.2270231246948,3.18412661552429,2.27926087379456,2.81403779983521,0.461248129606247,0.409101903438568,0.00444433744996786,5.19830751419067,50.365909576416,10.2647151947021,1608.15563964844,2.1897611618042,6.18650007247925,4.02205868176333,55345.0627488461,4.56104390984886,-1.11645609015114,567.255859375,-13.530934715271,0.719632723659797,0.568487076793869
2021-05-29 06:48:29,5069.0595703125,37.4371681213379,-103.613822937012,4.0285587310791,-5.59326648712158,552.177612304688,-9.54920673370361,3.36180925369263,2.40393924713135,2.96838712692261,0.469281256198883,0.419314652681351,0.00332193728536367,5.21593809127808,50.0554275512695,7.77032804489136,1611.20544433594,2.52317094802856,6.22756624221802,4.03358760302462,55441.0830306017,4.57706620161886,-1.10043379838114,569.0595703125,-13.4932664871216,0.719086296457223,0.583121462260121
2021-05-29 06:48:30,5071.9248046875,37.4363288879395,-103.614814758301,5.17045497894287,-5.51291561126709,552.273376464844,-9.48375415802002,3.37854361534119,2.41553425788879,2.9836003780365,0.485159784555435,0.417054206132889,0.00201072241179645,5.2311315536499,49.9999961853027,4.66662549972534,1654.61010742188,2.83715581893921,6.23577117919922,4.05827842226668,55619.3803679206,4.60448679298108,-1.07301320701892,571.9248046875,-13.4129156112671,0.718995083721885,0.580051540789408
2021-05-29 06:48:31,5075.888671875,37.4355010986328,-103.615821838379,5.89540195465088,-5.63951873779297,551.802917480469,-8.32691287994385,3.70439004898071,2.64612007141113,3.2668673992157,0.488867253065109,0.433850318193436,0.00215452606789768,5.21090173721313,46.3776054382324,6.08155059814453,1698.49963378906,3.13446259498596,6.18218946456909,4.01943551694282,55428.3590356222,4.56400927347587,-1.11349072652413,575.888671875,-13.539518737793,0.718722586116664,0.603640857507451
2021-05-29 06:48:32,5080.44482421875,37.4346771240234,-103.616806030273,6.40645456314087,-5.67317247390747,551.216125488281,-8.13421630859375,3.76465916633606,2.68639087677002,3.31616806983948,0.493614852428436,0.437160044908524,0.000857510080095381,5.2116322517395,45.8333320617676,2.4156699180603,1710.23303222656,3.46530866622925,6.19250106811523,4.00916604246939,55421.6476478749,4.55714466961728,-1.12035533038272,580.44482421875,-13.5731724739075,0.718048623285753,0.608816771917341
2021-05-29 06:48:33,5085.123046875,37.4338455200195,-103.617813110352,5.68868255615234,-5.74139213562012,550.581970214844,-7.40764284133911,3.98874092102051,2.84272408485413,3.50825595855713,0.469889402389526,0.457688570022583,0.00113343715202063,5.17476987838745,49.9999961853027,2.60814237594604,1661.17687988281,3.80729389190674,6.15621614456177,3.98842028984196,55351.928401499,4.53865110669911,-1.13884889330089,585.123046875,-13.6413921356201,0.717405506398875,0.637977497998335
2021-05-29 06:48:34,5089.236328125,37.4330139160156,-103.618804931641,5.87471675872803,-5.71245718002319,550.345947265625,-6.62023544311523,4.24183368682861,3.02025604248047,3.72775459289551,0.475076645612717,0.458779990673065,0,5.18785095214844,0,0,1666.88549804688,4.18480205535889,6.1696572303772,3.9972077886244,55451.744407479,4.55068908350441,-1.12681091649559,589.236328125,-13.6124571800232,0.71702038448672,0.639842326102742
2021-05-29 06:48:35,5092.5615234375,37.4321899414062,-103.619819641113,4.47753000259399,-5.90706014633179,549.522277832031,-5.8890495300293,4.49456167221069,3.19645023345947,3.94235157966614,0.452272593975067,0.445378482341766,0.000654008705168962,5.22609853744507,46.4285736083984,1.83623170852661,1550.48999023438,4.58376455307007,6.22028923034668,3.93843712419268,55134.991961564,4.4900668026927,-1.1874331973073,592.5615234375,-13.8070601463318,0.716468607364523,0.621630142289218
